t,r2
6.390000000000000000e+02,9.376399860275667075e-01
6.400000000000000000e+02,9.375967993289179292e-01
6.410000000000000000e+02,9.375540098265039424e-01
6.420000000000000000e+02,9.375113734962073897e-01
6.430000000000000000e+02,9.374690527927114214e-01
6.440000000000000000e+02,9.374269169055424733e-01
6.450000000000000000e+02,9.373850897198452436e-01
6.460000000000000000e+02,9.373435580971215542e-01
6.470000000000000000e+02,9.373022549370267908e-01
6.480000000000000000e+02,9.372613218338421426e-01
6.490000000000000000e+02,9.372204867894476932e-01
6.500000000000000000e+02,9.371799159160913995e-01
6.510000000000000000e+02,9.371397202930272785e-01
6.520000000000000000e+02,9.370996832408479138e-01
6.530000000000000000e+02,9.370598496332208649e-01
6.540000000000000000e+02,9.370207197372459884e-01
6.550000000000000000e+02,9.369817186171692791e-01
6.560000000000000000e+02,9.369431316549774458e-01
6.570000000000000000e+02,9.369048153192490735e-01
6.580000000000000000e+02,9.368668121545173921e-01
6.590000000000000000e+02,9.368292619891050999e-01
6.600000000000000000e+02,9.367920937448878105e-01
6.610000000000000000e+02,9.367551621483779511e-01
6.620000000000000000e+02,9.367186851308469953e-01
6.630000000000000000e+02,9.366823852163868036e-01
6.640000000000000000e+02,9.366462309779995943e-01
6.650000000000000000e+02,9.366105692898052393e-01
6.660000000000000000e+02,9.365750052477216370e-01
6.670000000000000000e+02,9.365398847235022473e-01
6.680000000000000000e+02,9.365051440834982754e-01
6.690000000000000000e+02,9.364706383401175671e-01
6.700000000000000000e+02,9.364364124083913721e-01
6.710000000000000000e+02,9.364025600267373850e-01
6.720000000000000000e+02,9.363691543393408701e-01
6.730000000000000000e+02,9.363359045785242252e-01
6.740000000000000000e+02,9.363028989394840407e-01
6.750000000000000000e+02,9.362701620038154093e-01
6.760000000000000000e+02,9.362376209440232966e-01
6.770000000000000000e+02,9.362053298573019822e-01
6.780000000000000000e+02,9.361732241518028186e-01
6.790000000000000000e+02,9.361413047789447495e-01
6.800000000000000000e+02,9.361097489070058231e-01
6.810000000000000000e+02,9.360783618650958537e-01
6.820000000000000000e+02,9.360471855644180161e-01
6.830000000000000000e+02,9.360163148762641327e-01
6.840000000000000000e+02,9.359856492284802654e-01
6.850000000000000000e+02,9.359549138655707257e-01
6.860000000000000000e+02,9.359243782544759416e-01
6.870000000000000000e+02,9.358939401810530967e-01
6.880000000000000000e+02,9.358636360450417468e-01
6.890000000000000000e+02,9.358334204167666481e-01
6.900000000000000000e+02,9.358031427463086027e-01
6.910000000000000000e+02,9.357729880653957721e-01
6.920000000000000000e+02,9.357429723396298860e-01
6.930000000000000000e+02,9.357130760974650130e-01
6.940000000000000000e+02,9.356831262275616679e-01
6.950000000000000000e+02,9.356532605871225039e-01
6.960000000000000000e+02,9.356234217300298805e-01
6.970000000000000000e+02,9.355936629816365979e-01
6.980000000000000000e+02,9.355637809117821613e-01
6.990000000000000000e+02,9.355340163424791244e-01
7.000000000000000000e+02,9.355042520432275133e-01
7.010000000000000000e+02,9.354742145421393040e-01
7.020000000000000000e+02,9.354442098224414748e-01
7.030000000000000000e+02,9.354142832489689141e-01
7.040000000000000000e+02,9.353844202619890913e-01
7.050000000000000000e+02,9.353544911236264525e-01
7.060000000000000000e+02,9.353245320938474716e-01
7.070000000000000000e+02,9.352946873411902562e-01
7.080000000000000000e+02,9.352650195743661410e-01
7.090000000000000000e+02,9.352353077647799218e-01
7.100000000000000000e+02,9.352057819169456998e-01
7.110000000000000000e+02,9.351762640070238053e-01
7.120000000000000000e+02,9.351466769860361516e-01
7.130000000000000000e+02,9.351172740191008304e-01
7.140000000000000000e+02,9.350880216436904258e-01
7.150000000000000000e+02,9.350588864165506608e-01
7.160000000000000000e+02,9.350296522510783692e-01
7.170000000000000000e+02,9.350006659198147885e-01
7.180000000000000000e+02,9.349717804065601490e-01
7.190000000000000000e+02,9.349429420016648340e-01
7.200000000000000000e+02,9.349143715271688304e-01
7.210000000000000000e+02,9.348859646872543783e-01
7.220000000000000000e+02,9.348576532590990862e-01
7.230000000000000000e+02,9.348293759368959677e-01
7.240000000000000000e+02,9.348013305950212404e-01
7.250000000000000000e+02,9.347735955216784909e-01
7.260000000000000000e+02,9.347458535359700615e-01
7.270000000000000000e+02,9.347183556008592520e-01
7.280000000000000000e+02,9.346908513232730087e-01
7.290000000000000000e+02,9.346636813991127113e-01
7.300000000000000000e+02,9.346367018143081351e-01
7.310000000000000000e+02,9.346097542624745014e-01
7.320000000000000000e+02,9.345829000865046865e-01
7.330000000000000000e+02,9.345562219462971720e-01
7.340000000000000000e+02,9.345296036333468059e-01
7.350000000000000000e+02,9.345030384179755512e-01
7.360000000000000000e+02,9.344765696720983561e-01
7.370000000000000000e+02,9.344502166538282140e-01
7.380000000000000000e+02,9.344238853143647106e-01
7.390000000000000000e+02,9.343973957475402159e-01
7.400000000000000000e+02,9.343710283734233402e-01
7.410000000000000000e+02,9.343448982149081816e-01
7.420000000000000000e+02,9.343186434772774440e-01
7.430000000000000000e+02,9.342924691296126127e-01
7.440000000000000000e+02,9.342661148231318213e-01
7.450000000000000000e+02,9.342398109086537117e-01
7.460000000000000000e+02,9.342135912286846366e-01
7.470000000000000000e+02,9.341873982103676699e-01
7.480000000000000000e+02,9.341613920614428856e-01
7.490000000000000000e+02,9.341354339071412660e-01
7.500000000000000000e+02,9.341095028175214754e-01
7.510000000000000000e+02,9.340837091574965001e-01
7.520000000000000000e+02,9.340580554296245008e-01
7.530000000000000000e+02,9.340324741769142625e-01
7.540000000000000000e+02,9.340068738245062008e-01
7.550000000000000000e+02,9.339814407640143479e-01
7.560000000000000000e+02,9.339560561167967734e-01
7.570000000000000000e+02,9.339306578685543370e-01
7.580000000000000000e+02,9.339053088370781186e-01
7.590000000000000000e+02,9.338801436655332910e-01
7.600000000000000000e+02,9.338550885992764616e-01
7.610000000000000000e+02,9.338302034906236226e-01
7.620000000000000000e+02,9.338054446279162590e-01
7.630000000000000000e+02,9.337808814385812894e-01
7.640000000000000000e+02,9.337563715443283341e-01
7.650000000000000000e+02,9.337320163387647920e-01
7.660000000000000000e+02,9.337078471635082977e-01
7.670000000000000000e+02,9.336836003585005095e-01
7.680000000000000000e+02,9.336595529355375955e-01
7.690000000000000000e+02,9.336358022295629944e-01
7.700000000000000000e+02,9.336121182305610056e-01
7.710000000000000000e+02,9.335885457795128906e-01
7.720000000000000000e+02,9.335651384388081730e-01
7.730000000000000000e+02,9.335418539583647535e-01
7.740000000000000000e+02,9.335186150980158137e-01
7.750000000000000000e+02,9.334955825921922301e-01
7.760000000000000000e+02,9.334725407272447262e-01
7.770000000000000000e+02,9.334496546529844618e-01
7.780000000000000000e+02,9.334268610924605358e-01
7.790000000000000000e+02,9.334041069858837192e-01
7.800000000000000000e+02,9.333814214853907165e-01
