t,r2
1.238000000000000000e+03,9.780645876692367624e-01
1.239000000000000000e+03,9.780389173682588755e-01
1.240000000000000000e+03,9.780131181745161939e-01
1.241000000000000000e+03,9.779872888914517004e-01
1.242000000000000000e+03,9.779613378149867309e-01
1.243000000000000000e+03,9.779353701542873312e-01
1.244000000000000000e+03,9.779092319802892286e-01
1.245000000000000000e+03,9.778830874061424927e-01
1.246000000000000000e+03,9.778568203325489483e-01
1.247000000000000000e+03,9.778304686006146218e-01
1.248000000000000000e+03,9.778041444236524882e-01
1.249000000000000000e+03,9.777777340004744078e-01
1.250000000000000000e+03,9.777512790605480397e-01
1.251000000000000000e+03,9.777247325762977725e-01
1.252000000000000000e+03,9.776981054152571460e-01
1.253000000000000000e+03,9.776714145597333872e-01
1.254000000000000000e+03,9.776446118848258759e-01
1.255000000000000000e+03,9.776177389794834527e-01
1.256000000000000000e+03,9.775907606783158510e-01
1.257000000000000000e+03,9.775637527740644872e-01
1.258000000000000000e+03,9.775365728975812241e-01
1.259000000000000000e+03,9.775093158316147113e-01
1.260000000000000000e+03,9.774819286456545298e-01
1.261000000000000000e+03,9.774544889054164187e-01
1.262000000000000000e+03,9.774269702829185835e-01
1.263000000000000000e+03,9.773994342064823426e-01
1.264000000000000000e+03,9.773717912836432653e-01
1.265000000000000000e+03,9.773440333195498875e-01
1.266000000000000000e+03,9.773161708702140515e-01
1.267000000000000000e+03,9.772882591896721038e-01
1.268000000000000000e+03,9.772602282827467235e-01
1.269000000000000000e+03,9.772321119648459398e-01
1.270000000000000000e+03,9.772038944677742256e-01
1.271000000000000000e+03,9.771756314793048626e-01
1.272000000000000000e+03,9.771472869202855183e-01
1.273000000000000000e+03,9.771188225277809281e-01
1.274000000000000000e+03,9.770903667674928350e-01
1.275000000000000000e+03,9.770618225871181561e-01
1.276000000000000000e+03,9.770332402626982216e-01
1.277000000000000000e+03,9.770044670163222644e-01
1.278000000000000000e+03,9.769757785539621153e-01
1.279000000000000000e+03,9.769468316559812848e-01
1.280000000000000000e+03,9.769179108828447422e-01
1.281000000000000000e+03,9.768889861612761738e-01
1.282000000000000000e+03,9.768600219479840474e-01
1.283000000000000000e+03,9.768308740030543502e-01
1.284000000000000000e+03,9.768016806277882713e-01
1.285000000000000000e+03,9.767724395644091784e-01
1.286000000000000000e+03,9.767431558475661024e-01
1.287000000000000000e+03,9.767137578879635518e-01
1.288000000000000000e+03,9.766843717320642382e-01
1.289000000000000000e+03,9.766550686041004514e-01
1.290000000000000000e+03,9.766256521487501896e-01
1.291000000000000000e+03,9.765960634407730989e-01
1.292000000000000000e+03,9.765664079547062837e-01
1.293000000000000000e+03,9.765368806606949947e-01
1.294000000000000000e+03,9.765072417783420278e-01
1.295000000000000000e+03,9.764775884450229704e-01
1.296000000000000000e+03,9.764479007049784443e-01
1.297000000000000000e+03,9.764182374993575220e-01
1.298000000000000000e+03,9.763885876849278667e-01
